category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
Electronics,4095,7856,28927754.3827,24003089.11,4924665.272700001,0.17024015094808587
Apparel,3803,7321,13249915.16528,10495548.68,2754366.4852799997,0.20787804683440733
Grocery,5814,11273,4632498.66515,3642420.86,990077.8051499999,0.213724358432803
Personal Care,4532,8759,4435382.90081,3701095.75,734287.1508099996,0.16555214447796657
Home Care,4747,9036,3190960.96896,2597976.56,592984.4089600001,0.18583254847935854
Fresh Produce,5069,9601,2987144.44843,2681545.27,305599.17842999985,0.10230478763443072
